ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-05-29,'000016,Éî¿µ¼Ñ£Á,6.57,6.75,6.44,6.44,6.49,0.08,1.2327,3.3097,52841964,349717203.21,15820201330.6,10489621266.0
2020-05-28,'000016,Éî¿µ¼Ñ£Á,6.49,6.65,6.34,6.6,6.62,-0.13,-1.9637,3.7196,59386666,385025593.7,15627565697.9,10361893762.0
2020-05-27,'000016,Éî¿µ¼Ñ£Á,6.62,6.88,6.56,6.84,6.85,-0.23,-3.3577,3.8084,60804455,406295565.1,15940598601.0,10569450956.0
2020-05-26,'000016,Éî¿µ¼Ñ£Á,6.85,6.85,6.63,6.71,6.64,0.21,3.1627,3.7592,60018680,406054485.36,16494426044.8,10936667530.0
2020-05-25,'000016,Éî¿µ¼Ñ£Á,6.64,7.01,6.58,7.01,7.04,-0.4,-5.6818,4.963,79238648,536049482.17,15988757509.1,10601382832.0
2020-05-22,'000016,Éî¿µ¼Ñ£Á,7.04,7.45,7.03,7.39,7.44,-0.4,-5.3763,5.1282,81876062,589555612.87,16951935672.3,11240020352.0
2020-05-21,'000016,Éî¿µ¼Ñ£Á,7.44,7.91,7.38,7.86,7.9,-0.46,-5.8228,6.9896,111595882,851246282.91,17915113835.5,11878657872.0
2020-05-20,'000016,Éî¿µ¼Ñ£Á,7.9,8.12,7.59,7.69,7.75,0.15,1.9355,8.705,138984083,1091480931.83,19022768723.2,12613091020.0
2020-05-19,'000016,Éî¿µ¼Ñ£Á,7.75,7.78,7.49,7.65,7.55,0.2,2.649,6.26,99946449,766125152.96,18661576912.0,12373601950.0
2020-05-18,'000016,Éî¿µ¼Ñ£Á,7.55,8.15,7.51,8.12,8.12,-0.57,-7.0197,11.6648,186238715,1464772009.86,18179987830.4,12054283190.0
2020-05-15,'000016,Éî¿µ¼Ñ£Á,8.12,8.31,7.56,7.6,7.55,0.57,7.5497,14.9769,239120049,1925761068.12,19552516713.0,12964341656.0
2020-05-14,'000016,Éî¿µ¼Ñ£Á,7.55,7.72,7.47,7.5,7.6,-0.05,-0.6579,4.4109,70424953,535413862.02,18179987830.4,12054283190.0
2020-05-13,'000016,Éî¿µ¼Ñ£Á,7.6,7.7,7.55,7.7,7.8,-0.2,-2.5641,5.291,84475588,643508355.83,18300385100.8,12134112880.0
2020-05-12,'000016,Éî¿µ¼Ñ£Á,7.8,7.9,7.38,7.47,7.53,0.27,3.5857,8.709,139047977,1066830591.95,18781974182.4,12453431640.0
2020-05-11,'000016,Éî¿µ¼Ñ£Á,7.53,7.71,7.48,7.53,7.58,-0.05,-0.6596,6.201,99004603,751736402.83,18131828922.2,12022351314.0
2020-05-08,'000016,Éî¿µ¼Ñ£Á,7.58,7.68,7.36,7.39,7.4,0.18,2.4324,8.0996,129317682,973338860.84,18252226192.6,12102181004.0
2020-05-07,'000016,Éî¿µ¼Ñ£Á,7.4,7.69,7.38,7.68,7.74,-0.34,-4.3928,7.8255,124940876,936856782.65,17818796019.2,11814794120.0
2020-05-06,'000016,Éî¿µ¼Ñ£Á,7.74,7.77,7.36,7.58,7.51,0.23,3.0626,12.7406,203415687,1541713303.56,18637497457.9,12357636012.0
2020-04-30,'000016,Éî¿µ¼Ñ£Á,7.51,7.51,6.83,6.89,6.83,0.68,9.9561,7.3226,116911522,857305916.17,18083670014.1,11990419438.0
2020-04-29,'000016,Éî¿µ¼Ñ£Á,6.83,7.12,6.83,7.1,7.06,-0.23,-3.2578,4.0443,64570313,448271642.04,16446267136.6,10904735654.0
2020-04-28,'000016,Éî¿µ¼Ñ£Á,7.06,7.21,6.72,7.04,7.06,0.0,0.0,5.9991,95780725,670744117.72,17000094580.5,11271952228.0
2020-04-27,'000016,Éî¿µ¼Ñ£Á,7.06,7.17,6.96,7.13,7.08,-0.02,-0.2825,3.0748,49092165,346657687.07,17000094580.5,11271952228.0
