»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-12-25,'000022,…Ó≥‡ÕÂ£¡,0.0,0.0,0.0,0.0,16.46,None,None,0.0,0,0.0,29519567741.9,7654219422.76
2018-12-24,'000022,…Ó≥‡ÕÂ£¡,0.0,0.0,0.0,0.0,16.46,None,None,0.0,0,0.0,10612810995.8,7654219422.76
2018-12-21,'000022,…Ó≥‡ÕÂ£¡,0.0,0.0,0.0,0.0,16.46,None,None,0.0,0,0.0,10612810995.8,7654219422.76
2018-12-20,'000022,…Ó≥‡ÕÂ£¡,16.46,16.78,16.46,16.71,16.72,-0.26,-1.555,0.4646,2160496,35784802.86,10612810995.8,7654219422.76
2018-12-19,'000022,…Ó≥‡ÕÂ£¡,16.72,17.3,16.71,17.29,17.4,-0.68,-3.908,0.6076,2825517,47920181.62,10780449565.6,7775124468.32
2018-12-18,'000022,…Ó≥‡ÕÂ£¡,17.4,17.69,16.96,17.69,17.8,-0.4,-2.2472,0.9661,4492334,77760053.64,11218888902.0,8091337664.4
2018-12-17,'000022,…Ó≥‡ÕÂ£¡,17.8,17.98,17.27,17.42,17.37,0.43,2.4755,1.3748,6393051,113026950.92,11476794394.0,8277345426.8
2018-12-14,'000022,…Ó≥‡ÕÂ£¡,17.37,17.67,17.18,17.58,17.38,-0.01,-0.0575,0.6218,2891543,50436384.36,11199545990.1,8077387082.22
2018-12-13,'000022,…Ó≥‡ÕÂ£¡,17.38,17.48,17.17,17.17,17.18,0.2,1.1641,0.4154,1931834,33522222.9,11205993627.4,8082037276.28
2018-12-12,'000022,…Ó≥‡ÕÂ£¡,17.18,17.26,17.06,17.17,17.18,0.0,0.0,0.2179,1013483,17403278.04,11077040881.4,7989033395.08
2018-12-11,'000022,…Ó≥‡ÕÂ£¡,17.18,17.18,16.86,16.86,16.93,0.25,1.4767,0.2088,971001,16588858.1,11077040881.4,7989033395.08
2018-12-10,'000022,…Ó≥‡ÕÂ£¡,16.93,17.12,16.92,17.02,17.18,-0.25,-1.4552,0.2345,1090489,18516611.93,10915849948.9,7872778543.58
2018-12-07,'000022,…Ó≥‡ÕÂ£¡,17.18,17.38,17.06,17.16,17.06,0.12,0.7034,0.3916,1820879,31381974.96,11077040881.4,7989033395.08
2018-12-06,'000022,…Ó≥‡ÕÂ£¡,17.06,17.44,17.05,17.18,17.31,-0.25,-1.4443,0.3848,1789424,30686181.23,10999669233.8,7933231066.36
2018-12-05,'000022,…Ó≥‡ÕÂ£¡,17.31,17.61,17.12,17.18,17.55,-0.24,-1.3675,0.4184,1945419,33776769.48,11160860166.3,8049485917.86
2018-12-04,'000022,…Ó≥‡ÕÂ£¡,17.55,17.66,17.36,17.52,17.48,0.07,0.4005,0.351,1632102,28569374.11,11315603461.5,8161090575.3
2018-12-03,'000022,…Ó≥‡ÕÂ£¡,17.48,17.69,17.33,17.48,17.13,0.35,2.0432,0.575,2673751,46953689.03,11270470000.4,8128539216.88
2018-11-30,'000022,…Ó≥‡ÕÂ£¡,17.13,17.17,16.84,17.0,17.0,0.13,0.7647,0.2219,1032101,17600967.15,11044802694.9,7965782424.78
2018-11-29,'000022,…Ó≥‡ÕÂ£¡,17.0,17.33,16.8,17.29,17.23,-0.23,-1.3349,0.2694,1252589,21407297.86,10960983410.0,7905329902.0
2018-11-28,'000022,…Ó≥‡ÕÂ£¡,17.23,17.28,16.87,16.88,16.87,0.36,2.134,0.3041,1414316,24194331.48,11109279067.9,8012284365.38
2018-11-27,'000022,…Ó≥‡ÕÂ£¡,16.87,17.06,16.86,16.86,16.86,0.01,0.0593,0.2612,1214699,20597360.99,10877164125.1,7844877379.22
2018-11-26,'000022,…Ó≥‡ÕÂ£¡,16.86,17.17,16.78,17.05,17.05,-0.19,-1.1144,0.362,1683584,28618423.72,10870716487.8,7840227185.16
2018-11-23,'000022,…Ó≥‡ÕÂ£¡,17.05,17.43,16.9,17.25,17.22,-0.17,-0.9872,0.5813,2703089,46452178.12,10993221596.5,7928580872.3
2018-11-22,'000022,…Ó≥‡ÕÂ£¡,17.22,17.45,17.06,17.44,17.34,-0.12,-0.692,0.3186,1481500,25546715.0,11102831430.6,8007634171.32
