日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-05-29,'000046,泛海控股,3.39,3.43,3.38,3.4,3.41,-0.02,-0.5865,0.1729,8985968,30590046.52,17615120223.8,17615120223.8
2020-05-28,'000046,泛海控股,3.41,3.47,3.34,3.35,3.33,0.08,2.4024,0.2699,14026644,47898428.18,17719044237.0,17719044237.0
2020-05-27,'000046,泛海控股,3.33,3.36,3.31,3.36,3.35,-0.02,-0.597,0.1085,5639700,18807653.92,17303348184.5,17303348184.5
2020-05-26,'000046,泛海控股,3.35,3.35,3.25,3.26,3.25,0.1,3.0769,0.1559,8101812,26825370.66,17407272197.6,17407272197.6
2020-05-25,'000046,泛海控股,3.25,3.29,3.2,3.26,3.27,-0.02,-0.6116,0.11,5713264,18592268.0,16887652132.0,16887652132.0
2020-05-22,'000046,泛海控股,3.27,3.4,3.26,3.39,3.38,-0.11,-3.2544,0.2536,13178900,43601184.0,16991576145.1,16991576145.1
2020-05-21,'000046,泛海控股,3.38,3.41,3.37,3.39,3.39,-0.01,-0.295,0.1105,5739235,19473926.32,17563158217.3,17563158217.3
2020-05-20,'000046,泛海控股,3.39,3.4,3.37,3.39,3.39,0.0,0.0,0.1277,6635090,22465780.11,17615120223.8,17615120223.8
2020-05-19,'000046,泛海控股,3.39,3.42,3.38,3.4,3.39,0.0,0.0,0.1387,7205899,24483786.61,17615120223.8,17615120223.8
2020-05-18,'000046,泛海控股,3.39,3.42,3.38,3.4,3.4,-0.01,-0.2941,0.16,8314924,28256155.02,17615120223.8,17615120223.8
2020-05-15,'000046,泛海控股,3.4,3.43,3.39,3.4,3.39,0.01,0.295,0.1455,7562312,25767923.8,17667082230.4,17667082230.4
2020-05-14,'000046,泛海控股,3.39,3.43,3.37,3.42,3.43,-0.04,-1.1662,0.1565,8131700,27604720.67,17615120223.8,17615120223.8
2020-05-13,'000046,泛海控股,3.43,3.46,3.4,3.43,3.43,0.0,0.0,0.1676,8710805,29890301.25,17822968250.1,17822968250.1
2020-05-12,'000046,泛海控股,3.43,3.48,3.41,3.45,3.45,-0.02,-0.5797,0.1523,7912659,27209385.76,17822968250.1,17822968250.1
2020-05-11,'000046,泛海控股,3.45,3.54,3.43,3.51,3.53,-0.08,-2.2663,0.2695,14002763,48696555.72,17926892263.2,17926892263.2
2020-05-08,'000046,泛海控股,3.53,3.55,3.47,3.51,3.5,0.03,0.8571,0.19,9872311,34668625.04,18342588315.7,18342588315.7
2020-05-07,'000046,泛海控股,3.5,3.57,3.48,3.53,3.54,-0.04,-1.1299,0.1853,9626607,33825793.43,18186702296.0,18186702296.0
2020-05-06,'000046,泛海控股,3.54,3.54,3.43,3.51,3.5,0.04,1.1429,0.2099,10906209,38116381.29,18394550322.2,18394550322.2
2020-04-30,'000046,泛海控股,3.5,3.51,3.44,3.45,3.44,0.06,1.7442,0.245,12730209,44239611.98,18186702296.0,18186702296.0
2020-04-29,'000046,泛海控股,3.44,3.46,3.33,3.35,3.35,0.09,2.6866,0.2643,13734953,47033453.78,17874930256.6,17874930256.6
2020-04-28,'000046,泛海控股,3.35,3.47,3.34,3.45,3.44,-0.09,-2.6163,0.3465,18006862,60930693.42,17407272197.6,17407272197.6
2020-04-27,'000046,泛海控股,3.44,3.51,3.42,3.5,3.5,-0.06,-1.7143,0.2374,12337570,42611678.0,17874930256.6,17874930256.6
2020-04-24,'000046,泛海控股,3.5,3.61,3.48,3.6,3.6,-0.1,-2.7778,0.3225,16756200,59104767.0,18186702296.0,18186702296.0
2020-04-23,'000046,泛海控股,3.6,3.68,3.59,3.67,3.66,-0.06,-1.6393,0.1781,9254900,33535479.0,18706322361.6,18706322361.6
2020-04-22,'000046,泛海控股,3.66,3.66,3.59,3.63,3.65,0.01,0.274,0.1701,8840277,32098117.97,19018094401.0,19018094401.0
2020-04-21,'000046,泛海控股,3.65,3.7,3.61,3.7,3.72,-0.07,-1.8817,0.2241,11643930,42472841.43,18966132394.4,18966132394.4
2020-04-20,'000046,泛海控股,3.72,3.75,3.69,3.72,3.72,0.0,0.0,0.1967,10221502,37969613.4,19329866440.3,19329866440.3
2020-04-17,'000046,泛海控股,3.72,3.75,3.69,3.74,3.73,-0.01,-0.2681,0.3369,17504502,64955677.4,19329866440.3,19329866440.3
2020-04-16,'000046,泛海控股,3.73,3.86,3.65,3.86,3.87,-0.14,-3.6176,0.6258,32520397,121330646.18,19381828446.9,19381828446.9
2020-04-15,'000046,泛海控股,3.87,3.98,3.86,3.98,4.01,-0.14,-3.4913,0.4742,24639300,96617397.0,20109296538.7,20109296538.7
2020-04-14,'000046,泛海控股,4.01,4.02,3.94,3.94,3.94,0.07,1.7766,0.2194,11402183,45427762.33,20836764630.6,20836764630.6
2020-04-13,'000046,泛海控股,3.94,3.98,3.93,3.98,3.98,-0.04,-1.005,0.1366,7096260,28010588.4,20473030584.6,20473030584.6
2020-04-10,'000046,泛海控股,3.98,4.04,3.96,4.03,4.02,-0.04,-0.995,0.2196,11411440,45587515.8,20680878610.9,20680878610.9
2020-04-09,'000046,泛海控股,4.02,4.07,4.0,4.01,3.99,0.03,0.7519,0.3131,16269400,65627292.0,20888726637.1,20888726637.1
2020-04-08,'000046,泛海控股,3.99,4.02,3.96,4.0,4.01,-0.02,-0.4988,0.2133,11084618,44204293.25,20732840617.4,20732840617.4
2020-04-07,'000046,泛海控股,4.01,4.03,3.97,4.03,3.95,0.06,1.519,0.2782,14453400,57776248.8,20836764630.6,20836764630.6
2020-04-03,'000046,泛海控股,3.95,4.0,3.94,3.98,4.0,-0.05,-1.25,0.1729,8984360,35589887.6,20524992591.2,20524992591.2
2020-04-02,'000046,泛海控股,4.0,4.0,3.91,3.93,3.96,0.04,1.0101,0.2147,11157210,44045002.7,20784802624.0,20784802624.0
